Duracion;DuracionAscendente;DuracionDescendente;GradienteAscendente;GradienteDescendente;Volumen;Qmax_GEOM;CaudalBaseEscalon;HoraEpisodio;VolumenEpisodio;DuracionEpisodio;Volumen -4;Duracion -4;Distancia de -4;Volumen -3;Duracion -3;Distancia de -3;Volumen -2;Duracion -2;Distancia de -2;Volumen -1;Duracion -1;Distancia de -1;Volumen 1;Duracion 1;Distancia de 1;Volumen 2;Duracion 2;Distancia de 2;Volumen 3;Duracion 3;Distancia de 3;Volumen 4;Duracion 4;Distancia de 4;VolumenCercanoMas1.1;DistanciaCercanoMas1.1;Etiqueta
75;56;14;0.003125;0.0125;8.993000000000004;0.17500000000000002;0;9.833333333333334;8.993000000000004;75;3.0;30;32586;0.999;16;31164;5.999000000000001;52;24384;2.9970000000000003;31;848;1.9959999999999998;21;169;0.999;16;441;7.9990000000000006;57;462;0.999;16;821;1.9959999999999998;169;Grifos
21;10;10;0.0125;0.0125;1.9959999999999998;0.125;0;9.9;1.9959999999999998;21;0.999;16;31408;5.999000000000001;52;24628;2.9970000000000003;31;1092;8.993000000000004;75;169;0.999;16;251;7.9990000000000006;57;272;0.999;16;631;15.989000000000011;94;735;8.993000000000004;169;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;9.433333333333334;0.999;16;5.999000000000001;52;24900;2.9970000000000003;31;1364;8.993000000000004;75;441;1.9959999999999998;21;251;7.9990000000000006;57;5;0.999;16;364;15.989000000000011;94;468;0.999;16;653;7.9990000000000006;5;Grifos
57;16;35;0.013281250000000001;0.006071428571428572;7.9990000000000006;0.21250000000000002;0;9.783333333333333;7.9990000000000006;57;2.9970000000000003;31;1385;8.993000000000004;75;462;1.9959999999999998;21;272;0.999;16;5;0.999;16;302;15.989000000000011;94;406;0.999;16;591;0.999;16;619;1.9959999999999998;272;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;9.766666666666667;0.999;16;8.993000000000004;75;821;1.9959999999999998;21;631;0.999;16;364;7.9990000000000006;57;302;15.989000000000011;94;88;0.999;16;273;0.999;16;301;0.999;16;378;15.989000000000011;88;Grifos
94;26;47;0.008653846153846154;0.0047872340425531915;15.989000000000011;0.225;0;9.5;15.989000000000011;94;1.9959999999999998;21;735;0.999;16;468;7.9990000000000006;57;406;0.999;16;88;0.999;16;91;0.999;16;119;0.999;16;196;0.999;16;215;2.0;293;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;9.583333333333334;0.999;16;0.999;16;653;7.9990000000000006;57;591;0.999;16;273;15.989000000000011;94;91;0.999;16;12;0.999;16;89;0.999;16;108;2.0;29;186;15.989000000000011;91;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;9.05;0.999;16;7.9990000000000006;57;619;0.999;16;301;15.989000000000011;94;119;0.999;16;12;0.999;16;61;0.999;16;80;2.0;29;158;12.991999999999997;93;207;15.989000000000011;119;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;9.333333333333334;0.999;16;0.999;16;378;15.989000000000011;94;196;0.999;16;89;0.999;16;61;0.999;16;3;2.0;29;81;12.991999999999997;93;130;0.999;16;236;2.0;81;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;9.65;0.999;16;15.989000000000011;94;215;0.999;16;108;0.999;16;80;0.999;16;3;2.0;29;62;12.991999999999997;93;111;0.999;16;217;2.9970000000000003;34;272;2.0;62;Grifos
29;8;8;0.009375000000000001;0.009375000000000001;2.0;0.07500000000000001;0;9.95;2.0;29;0.999;16;186;0.999;16;158;0.999;16;81;0.999;16;62;12.991999999999997;93;20;0.999;16;126;2.9970000000000003;34;181;0.999;16;347;12.991999999999997;20;Grifos
